Symbol,Name,Currency
G,Augusta Gold Corp.,CAD
GATO,"Gatos Silver, Inc.",CAD
GAU,Galiano Gold Inc,CAD
GBAR,Monarch Mining Corporation,CAD
GBT,BMTC Group Inc,CAD
GCG,Guardian Capital Group Ltd,CAD
GCG.A,Guardian Capital Group Ltd,CAD
GCL,Colabor Group Inc,CAD
GCTB,Guardian Fund - Guardian Ultra Short Canadian T-Bill Fund,CAD
GDC,Genesis Land Development Corp,CAD
GDI,GDI Integrated Facility Services Inc,CAD
GDL,Goodfellow Inc,CAD
GDV.PR.A,Global Dividend Growth Split Corp,CAD
GEC,Global Education Communities Corp,CAD
GEI,Gibson Energy Inc,CAD
GENM,Generation Mining Limited,CAD
GEO,Geodrill Ltd,CAD
GFL,GFL Environmental Inc,CAD
GFP,GreenFirst Forest Products Inc.,CAD
GGA,Goldgroup Mining Inc,CAD
GGD,GoGold Resources Inc,CAD
GH,Gamehost Inc,CAD
GIB.A,CGI Inc,CAD
GIL,Gildan Activewear Inc,CAD
GIVX,Givex Information Technology Group Limited,CAD
GLCC,Horizons Gold Producer Equity Covered Call ETF,CAD
GLG,GLG Life Tech Corp,CAD
GLO,Global Atomic Corp,CAD
GLXY,Galaxy Digital Holdings Ltd,CAD
GMNG,Gamelancer Media Corp.,CAD
GMTN,Gold Mountain Mining Corp.,CAD
GMX,Globex Mining Enterprises Inc,CAD
GOGR,Osisko Green Acquisition Limited,CAD
GOLD,GoldMining Inc,CAD
GOOS,Canada Goose Holdings Inc,CAD
GRA,NanoXplore Inc.,CAD
GRC,Gold Springs Resource Corp,CAD
GRID,Tantalus Systems Holding Inc.,CAD
GRN,Greenlane Renewables Inc.,CAD
GRT.UN,Granite Real Estate Investment Trust,CAD
GSY,goeasy Ltd,CAD
GTE,Gran Tierra Energy Inc,CAD
GUD,KNIGHT THERAPEUTICS INC,CAD
GURU,GURU Organic Energy Corp.,CAD
GUTB.U,Guardian Fund - Guardian Ultra Short US T-Bill Fund,USD
GVC,Glacier Media Inc,CAD
GWO,Great-West Lifeco Inc,CAD
GWO.PR.G,Great-West Lifeco Inc,CAD
GWO.PR.H,Great-West Lifeco Inc,CAD
GWO.PR.I,Great-West Lifeco Inc,CAD
GWO.PR.L,Great-West Lifeco Inc,CAD
GWO.PR.M,Great-West Lifeco Inc,CAD
GWO.PR.N,Great-West Lifeco Inc,CAD
GWO.PR.P,Great-West Lifeco Inc,CAD
GWO.PR.Q,Great-West Lifeco Inc,CAD
GWO.PR.R,Great-West Lifeco Inc,CAD
GWO.PR.S,Great-West Lifeco Inc,CAD
GWO.PR.T,Great-West Lifeco Inc,CAD
GWO.PR.Y,Great-West Lifeco Inc.,CAD
GXE,GEAR ENERGY LTD,CAD
H,Hydro One Ltd,CAD
HAI,Haivision Systems Inc.,CAD
HBM,Hudbay Minerals Inc,CAD
HBNK,Horizons Equal Weight Banks Index ETF,CAD
HBP,Helix Biopharma Corp,CAD
HCG,Home Capital Group Inc,CAD
HEB,Hamilton Canadian Bank Equal-Weight Index ETF,CAD
HEO,H2O Innovation Inc.,CAD
HFPC.U,Helios Fairfax Partners Corporation,USD
HHRS,Hammerhead Energy Inc.,CAD
